Unless stated otherwise the Canmore dataset contains Ordnance Survey derived data which is delivered through Canmore website under the terms of the OPEN GOVERNMENT End User Licence.
http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf
"Canmore-download-Mon, 04 Nov 2019 10:12:48 +0000.csv"


CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"18357","NJ64SE 6","Mains Of Hatton","Recumbent Stone Circle (Neol/bronze Age)","369930","842540","ABERDEENSHIRE","ABERDEENSHIRE","AUCHTERLESS","NJ 6993 4254","http://canmore.org.uk/site/18357",
"19227","NJ75NE 1","The Gray Stone Of Clochforbie","Recumbent Stone Circle (Neol/bronze Age)","379680","858630","ABERDEENSHIRE","ABERDEENSHIRE","KING EDWARD","NJ 7968 5863","http://canmore.org.uk/site/19227",
"21100","NK05NW 3","Netherton Of Logie","Recumbent Stone Circle (Neol/bronze Age)","404340","857220","ABERDEENSHIRE","ABERDEENSHIRE","CRIMOND","NK 0434 5722","http://canmore.org.uk/site/21100",
"17643","NJ52NE 6","Braehead","Recumbent Stone Circle (Neol/bronze Age)","359260","825560","ABERDEENSHIRE","ABERDEENSHIRE","LESLIE (GORDON)","NJ 5926 2556","http://canmore.org.uk/site/17643",
"17657","NJ52NW 2","Corrstone Wood, Muir Of Rhynie","Recumbent Stone Circle (Neol/bronze Age)","351010","827110","ABERDEENSHIRE","ABERDEENSHIRE","AUCHINDOIR AND KEARN","NJ 5101 2711","http://canmore.org.uk/site/17657",
"18190","NJ62SW 1","Loanend","Cup Marked Stone (Prehistoric), Recumbent Stone Circle (Neol/bronze Age)","360490","824210","ABERDEENSHIRE","ABERDEENSHIRE","PREMNAY","NJ 6049 2421","http://canmore.org.uk/site/18190",
"18323","NJ64NE 4","Cairn Riv","Recumbent Stone Circle (Neol/bronze Age)(Possible)","367440","846590","ABERDEENSHIRE","BANFFSHIRE","INVERKEITHNY","NJ 6744 4659","http://canmore.org.uk/site/18323",
"18495","NJ66SW 1","St Brandan's Stanes","Cup Marked Stone (Prehistoric), Recumbent Stone Circle (Neol/bronze Age), Cinerary Urn","360750","861050","ABERDEENSHIRE","BANFFSHIRE","BOYNDIE","NJ 6075 6105","http://canmore.org.uk/site/18495",
"18534","NJ70NW 2","Wester Echt","Cross Incised Stone (Early Medieval), Graffiti (Period Unassigned), Recumbent Stone Circle (Neol/bronze Age)","373850","808340","ABERDEENSHIRE","ABERDEENSHIRE","ECHT","NJ 7385 0834","http://canmore.org.uk/site/18534",
"18811","NJ72NW 30","New Craig","Recumbent Stone Circle (Neol/bronze Age)","374550","829660","ABERDEENSHIRE","ABERDEENSHIRE","DAVIOT","NJ 7455 2966","http://canmore.org.uk/site/18811",
"20734","NJ95SE 3","Gaval","Recumbent Stone Circle (Neol/bronze Age)","398050","851500","ABERDEENSHIRE","ABERDEENSHIRE","OLD DEER","NJ 9805 5150","http://canmore.org.uk/site/20734",
"17000","NJ40NW 4","Blue Cairn Of Ladieswell","Recumbent Stone Circle (Neol/bronze Age)","341130","806330","ABERDEENSHIRE","ABERDEENSHIRE","LOGIE-COLDSTONE","NJ 4113 0633","http://canmore.org.uk/site/17000",
"17675","NJ52NW 6","The Sunken Kirk, Seggieden","Cist(S) (Period Unassigned), Stone Circle (Neol/bronze Age), Cinerary Urn","354910","827080","ABERDEENSHIRE","ABERDEENSHIRE","CLATT","NJ 5491 2708","http://canmore.org.uk/site/17675",
"18024","NJ60SW 5","Balnacraig","Recumbent Stone Circle (Neol/bronze Age)","360330","803530","ABERDEENSHIRE","ABERDEENSHIRE","LUMPHANAN","NJ 6033 0353","http://canmore.org.uk/site/18024",
"19197","NJ74SW 11","Corrydown","Recumbent Stone Circle (Neol/bronze Age)","370680","844460","ABERDEENSHIRE","ABERDEENSHIRE","AUCHTERLESS","NJ 7068 4446","http://canmore.org.uk/site/19197",
"20401","NJ92SW 1","Hill Of Fiddes","Recumbent Stone Circle (Neol/bronze Age)","393500","824320","ABERDEENSHIRE","ABERDEENSHIRE","FOVERAN","NJ 9350 2432","http://canmore.org.uk/site/20401",
"18681","NJ71NW 4","'the Chapel O' Sink'","Cairn (Period Unassigned)","370600","818950","ABERDEENSHIRE","ABERDEENSHIRE","CHAPEL OF GARIOCH","NJ 7060 1895","http://canmore.org.uk/site/18681",
"37197","NO99NW 2","Old Bourtreebush","Cairn (Period Unassigned), Cup Marked Stone (Prehistoric), Stone Circle (Neol/bronze Age)","390350","796080","ABERDEENSHIRE","KINCARDINESHIRE","BANCHORY-DEVENICK","NO 9035 9608","http://canmore.org.uk/site/37197",
"17519","NJ51NE 1","Druidstone, Druidsfield","Stone Circle (Neol/bronze Age)(Possible)","357890","817710","ABERDEENSHIRE","ABERDEENSHIRE","TULLYNESSLE AND FORBES","NJ 5789 1771","http://canmore.org.uk/site/17519",
"24891","NN74NE 12","Croft Moraig","Cup And Ring Marked Stone (Prehistoric), Cup Marked Stone (Prehistoric), Stone Circle (Neol/bronze Age), Unidentified Pottery (Neolithic), Unidentified Pottery (Bronze Age)","279754","747266","PERTH AND KINROSS","PERTHSHIRE","DULL","NN 79754 47266","http://canmore.org.uk/site/24891",
"18139","NJ62NW 2","Wantonwells","Recumbent Stone Circle (Neol/bronze Age)","361870","827290","ABERDEENSHIRE","ABERDEENSHIRE","INSCH","NJ 6187 2729","http://canmore.org.uk/site/18139",
"18166","NJ62NW 5","Stonehead","Recumbent Stone Circle (Neol/bronze Age)","360100","828690","ABERDEENSHIRE","ABERDEENSHIRE","INSCH","NJ 6010 2869","http://canmore.org.uk/site/18166",
"18167","NJ62NW 6","Inschfield","Recumbent Stone Circle (Neol/bronze Age)","362330","829340","ABERDEENSHIRE","ABERDEENSHIRE","INSCH","NJ 6233 2934","http://canmore.org.uk/site/18167",
"18352","NJ64SE 1","Hare Stanes","Stone Circle (Neol/bronze Age)","366450","843830","ABERDEENSHIRE","BANFFSHIRE","INVERKEITHNY","NJ 6645 4383","http://canmore.org.uk/site/18352",
"18537","NJ70NW 3","Nether Corskie","Pictish Symbol Stone (Pictish), Stone Circle (Neol/bronze Age)(Possible)","374825","809598","ABERDEENSHIRE","ABERDEENSHIRE","CLUNY","NJ 74825 09598","http://canmore.org.uk/site/18537",
"18657","NJ71NW 11","Nether Coullie","Recumbent Stone Circle (Bronze Age), Stone Circle (Neol/bronze Age)","370980","815640","ABERDEENSHIRE","ABERDEENSHIRE","MONYMUSK","NJ 7098 1564","http://canmore.org.uk/site/18657",
"18687","NJ71SE 1","South Fornet","Recumbent Stone Circle (Neol/bronze Age)","378290","810979","ABERDEENSHIRE","ABERDEENSHIRE","SKENE","NJ 78290 10979","http://canmore.org.uk/site/18687",
"18705","NJ71SE 3","South Ley Lodge","Recumbent Stone Circle (Neol/bronze Age)","376670","813250","ABERDEENSHIRE","ABERDEENSHIRE","KINTORE","NJ 7667 1325","http://canmore.org.uk/site/18705",
"24985","NN74NW 3","Fortingall Church","Stone Setting(S) (Neol/bronze Age)","274541","746956","PERTH AND KINROSS","PERTHSHIRE","FORTINGALL","NN 74541 46956","http://canmore.org.uk/site/24985",
"37208","NO99NW 3","Craighead","Stone Circle (Neol/bronze Age)","391170","797720","ABERDEENSHIRE","KINCARDINESHIRE","BANCHORY-DEVENICK","NO 9117 9772","http://canmore.org.uk/site/37208",
"14257","NH74SE 1","Balnuaran Of Clava, North-east","Chambered Cairn (Bronze Age), Stone Circle (Bronze Age)","275760","844470","HIGHLAND","INVERNESS-SHIRE","CROY AND DALCROSS (INVERNESS)","NH 7576 4447","http://canmore.org.uk/site/14257",
"14277","NH74SE 3","Balnuaran Of Clava, Centre","Ring Cairn (Bronze Age), Stone Circle (Bronze Age)","275710","844430","HIGHLAND","INVERNESS-SHIRE","CROY AND DALCROSS (INVERNESS)","NH 7571 4443","http://canmore.org.uk/site/14277",
"17855","NJ54SE 1","Cairnton","Recumbent Stone Circle (Neol/bronze Age)","358590","844670","ABERDEENSHIRE","ABERDEENSHIRE","FORGUE","NJ 5859 4467","http://canmore.org.uk/site/17855",
"18161","NJ62NW 4","Dunnideer","Recumbent Stone Circle (Neol/bronze Age)","360860","828440","ABERDEENSHIRE","ABERDEENSHIRE","INSCH","NJ 6086 2844","http://canmore.org.uk/site/18161",
"18213","NJ62SW 4","Druidstone","Recumbent Stone Circle (Neol/bronze Age)","361530","822190","ABERDEENSHIRE","ABERDEENSHIRE","PREMNAY","NJ 6153 2219","http://canmore.org.uk/site/18213",
"18359","NJ64SE 8","Pitglassie","Recumbent Stone Circle (Neol/bronze Age)","368620","843480","ABERDEENSHIRE","ABERDEENSHIRE","AUCHTERLESS","NJ 6862 4348","http://canmore.org.uk/site/18359",
"18370","NJ64SW 6","Frendraught","Recumbent Stone Circle (Neol/bronze Age)","361090","842850","ABERDEENSHIRE","ABERDEENSHIRE","FORGUE","NJ 6109 4285","http://canmore.org.uk/site/18370",
"19879","NJ84SE 1","Auchmaliddie","Recumbent Stone Circle (Neol/bronze Age)","388150","844840","ABERDEENSHIRE","ABERDEENSHIRE","NEW DEER","NJ 8815 4484","http://canmore.org.uk/site/19879",
"20294","NJ91NE 7","Potterton","Recumbent Stone Circle (Neol/bronze Age)","395290","816360","ABERDEENSHIRE","ABERDEENSHIRE","BELHELVIE","NJ 9529 1636","http://canmore.org.uk/site/20294",
"35145","NO57NE 3","Colmeallie","Recumbent Stone Circle (Neol/bronze Age)","356560","778110","ANGUS","ANGUS","EDZELL","NO 5656 7811","http://canmore.org.uk/site/35145",
"36695","NO79SE 1","Cairnfauld","Stone Circle (Neol/bronze Age)","375350","794060","ABERDEENSHIRE","KINCARDINESHIRE","DURRIS","NO 7535 9406","http://canmore.org.uk/site/36695",
"36819","NO87NW 6","Millplough","Recumbent Stone Circle (Neol/bronze Age)","381910","775440","ABERDEENSHIRE","KINCARDINESHIRE","ARBUTHNOTT","NO 8191 7544","http://canmore.org.uk/site/36819",
"14279","NH74SE 4","Balnuaran Of Clava, South-west","Chambered Cairn (Bronze Age), Stone Circle (Bronze Age)","275680","844380","HIGHLAND","INVERNESS-SHIRE","CROY AND DALCROSS (INVERNESS)","NH 7568 4438","http://canmore.org.uk/site/14279",
"17663","NJ52NW 25","Bankhead","Recumbent Stone Circle (Neol/bronze Age)","352930","826980","ABERDEENSHIRE","ABERDEENSHIRE","CLATT","NJ 5293 2698","http://canmore.org.uk/site/17663",
"18243","NJ63SE 10","Kirkton Of Culsalmond, Old Parish Church","Bellcote (17th Century), Church (18th Century), Stone Circle (Neol/bronze Age)","365007","832941","ABERDEENSHIRE","ABERDEENSHIRE","CULSALMOND","NJ 65007 32941","http://canmore.org.uk/site/18243",
"20332","NJ91SW 5","Mundurno","Standing Stone (Prehistoric)","394000","813090","ABERDEEN, CITY OF","ABERDEENSHIRE","OLD MACHAR","NJ 9400 1309","http://canmore.org.uk/site/20332",
"36704","NO79SW 10","Tilquhillie","Recumbent Stone Circle (Neol/bronze Age)","372230","794100","ABERDEENSHIRE","KINCARDINESHIRE","BANCHORY-TERNAN","NO 7223 9410","http://canmore.org.uk/site/36704",
"16029","NJ13SE 4","Doune Of Dalmore","Ring Cairn (Neol/bronze Age), Stone Circle (Neol/bronze Age)","318530","830850","MORAY","BANFFSHIRE","INVERAVON","NJ 1853 3085","http://canmore.org.uk/site/16029",
"17221","NJ42NE 6","Upper Ord","Stone Circle (Neol/bronze Age)","348250","826960","ABERDEENSHIRE","ABERDEENSHIRE","AUCHINDOIR AND KEARN","NJ 4825 2696","http://canmore.org.uk/site/17221",
"17280","NJ43NW 7","Nether Dumeath","Recumbent Stone Circle (Neol/bronze Age)","342530","837860","ABERDEENSHIRE","ABERDEENSHIRE","GLASS","NJ 4253 3786","http://canmore.org.uk/site/17280",
"18116","NJ62NE 4","Mill Of Carden","Standing Stone (Prehistoric)","369320","826020","ABERDEENSHIRE","ABERDEENSHIRE","OYNE","NJ 6932 2602","http://canmore.org.uk/site/18116",
"18226","NJ63NE 3","Upper Third","Stone Circle (Neol/bronze Age)","367740","839380","ABERDEENSHIRE","ABERDEENSHIRE","AUCHTERLESS","NJ 6774 3938","http://canmore.org.uk/site/18226",
"20703","NJ95NE 5","Cortes","Non Antiquity (Possible)","399000","859000","ABERDEENSHIRE","ABERDEENSHIRE","RATHEN","NJ 99 59","http://canmore.org.uk/site/20703",
"17526","NJ51NE 16","Crookmore","Stone Circle (Neol/bronze Age), Cup(S) (Stone)","358647","818687","ABERDEENSHIRE","ABERDEENSHIRE","TULLYNESSLE AND FORBES","NJ 58647 18687","http://canmore.org.uk/site/17526",
"17644","NJ52NE 7","Johnston, The Ringing Stone","Cairn (Period Unassigned)(Possible), Cup Marked Stone (Prehistoric)","357900","825170","ABERDEENSHIRE","ABERDEENSHIRE","LESLIE (GORDON)","NJ 5790 2517","http://canmore.org.uk/site/17644",
"17744","NJ53NW 1","Huntly","Pictish Symbol Stone (Pictish), Stone Circle (Neol/bronze Age)(Possible)","352920","839990","ABERDEENSHIRE","ABERDEENSHIRE","HUNTLY","NJ 5292 3999","http://canmore.org.uk/site/17744",
"19697","NJ82SW 1","Shelden","Stone Circle (Neol/bronze Age)","382290","824930","ABERDEENSHIRE","ABERDEENSHIRE","BOURTIE","NJ 8229 2493","http://canmore.org.uk/site/19697",
"19860","NJ84NE 12","Culsh","Pit(S) (Period Unassigned), Stone Circle (Neol/bronze Age)(Possible), Arrowhead(S) (Flint), Axehead(S) (Stone), Worked Object(S) (Flint)","388100","848000","ABERDEENSHIRE","ABERDEENSHIRE","NEW DEER","NJ 881 480","http://canmore.org.uk/site/19860",
"39504","NR89NW 6","Temple Wood","Stone Circle(S) (Neol/bronze Age)","182630","697820","ARGYLL AND BUTE","ARGYLL","KILMARTIN","NR 8263 9782","http://canmore.org.uk/site/39504",
"16977","NJ40NE 4","Brankholme Cottage","Stone Circle (Neol/bronze Age)","345990","805580","ABERDEENSHIRE","ABERDEENSHIRE","LOGIE-COLDSTONE","NJ 4599 0558","http://canmore.org.uk/site/16977",
"17683","NJ52SE 13","Corrie Cairn","Recumbent Stone Circle (Neol/bronze Age)","355220","820520","ABERDEENSHIRE","ABERDEENSHIRE","TULLYNESSLE AND FORBES","NJ 5522 2052","http://canmore.org.uk/site/17683",
"17979","NJ56SW 11","Gaulcross North","Stone Circle (Neol/bronze Age), Hoard (Silver)(Pictish)","353540","863920","ABERDEENSHIRE","BANFFSHIRE","FORDYCE","NJ 5354 6392","http://canmore.org.uk/site/17979",
"18427","NJ65SW 4","Bellman's Wood","Recumbent Stone Circle (Neol/bronze Age)","360460","850410","ABERDEENSHIRE","BANFFSHIRE","MARNOCH","NJ 6046 5041","http://canmore.org.uk/site/18427",
"19223","NJ74SW 6","Burreldales","Stone Circle (Neol/bronze Age)(Possible)","373620","840270","ABERDEENSHIRE","ABERDEENSHIRE","FYVIE","NJ 7362 4027","http://canmore.org.uk/site/19223",
"19224","NJ74SW 7","Rapplaburn","Stone Circle (Neol/bronze Age)(Possible)","372700","840550","ABERDEENSHIRE","ABERDEENSHIRE","AUCHTERLESS","NJ 7270 4055","http://canmore.org.uk/site/19224",
"19926","NJ85NW 2","Upper Auchnagorth","Stone Circle (Neol/bronze Age)","383900","856290","ABERDEENSHIRE","ABERDEENSHIRE","KING EDWARD","NJ 8390 5629","http://canmore.org.uk/site/19926",
"20866","NK03NE 10","Hatton","Stone Circle (Neol/bronze Age)","405070","836430","ABERDEENSHIRE","ABERDEENSHIRE","CRUDEN","NK 0507 3643","http://canmore.org.uk/site/20866",
"39703","NR93SW 14","Arran, Machrie Moor 1","Plough Marks, Stone Circle (Neol/bronze Age), Timber Circle(S) (Neolithic), Flake(S) (Pitchstone), Unidentified Pottery","191196","632399","NORTH AYRSHIRE","BUTESHIRE","KILMORY","NR 91196 32399","http://canmore.org.uk/site/39703",
"14894","NH80NW 1","Delfour","Ring Cairn (Neol/bronze Age), Stone Circle (Neol/bronze Age)(Possible)","284420","808580","HIGHLAND","INVERNESS-SHIRE","ALVIE","NH 8442 0858","http://canmore.org.uk/site/14894",
"16006","NJ13NE 3","Marionburgh","Ring Cairn (Neol/bronze Age)","318308","836407","MORAY","BANFFSHIRE","INVERAVON","NJ 18308 36407","http://canmore.org.uk/site/16006",
"20510","NJ93SE 8","Ellon","Non Antiquity","395490","830250","ABERDEENSHIRE","ABERDEENSHIRE","ELLON","NJ 9549 3025","http://canmore.org.uk/site/20510",
"25634","NN84NW 24","Urlar","Ritual Enclosure (Prehistoric)","284880","746380","PERTH AND KINROSS","PERTHSHIRE","DULL","NN 8488 4638","http://canmore.org.uk/site/25634",
"35021","NO56NW 3","Newbigging","Cairn (Period Unassigned), Ring Cairn (Neol/bronze Age)(Possible)","354130","769340","ANGUS","ANGUS","LETHNOT AND NAVAR","NO 5413 6934","http://canmore.org.uk/site/35021",
"37212","NO99NW 4","Cairnwell","Ring Cairn (Neol/bronze Age)","390710","797330","ABERDEENSHIRE","KINCARDINESHIRE","BANCHORY-DEVENICK","NO 9071 9733","http://canmore.org.uk/site/37212",
"14268","NH74SE 2","Culdoich, Clava","Ring Cairn (Neol/bronze Age), Stone Circle (Neol/bronze Age)","275110","843780","HIGHLAND","INVERNESS-SHIRE","CROY AND DALCROSS (INVERNESS)","NH 7511 4378","http://canmore.org.uk/site/14268",
"15989","NJ13NE 10","Lagmore East","Cup Marked Stone (Prehistoric), Ring Cairn (Neol/bronze Age), Stone Circle (Neol/bronze Age)","317960","835950","MORAY","BANFFSHIRE","INVERAVON","NJ 1796 3595","http://canmore.org.uk/site/15989",
"18548","NJ70SE 2","Cullerlie","Stone Circle (Neol/bronze Age)","378500","804280","ABERDEENSHIRE","ABERDEENSHIRE","ECHT","NJ 7850 0428","http://canmore.org.uk/site/18548",
"26170","NN92SW 1","Fowlis Wester","Cairn (Bronze/iron Age), Standing Stone (Prehistoric), Stone Circle(S) (Neol/bronze Age)","292400","724900","PERTH AND KINROSS","PERTHSHIRE","FOWLIS WESTER","NN 924 249","http://canmore.org.uk/site/26170",
"62843","NX35NE 14","Torhousekie","Stone Circle (Neol/bronze Age)","238255","556493","DUMFRIES AND GALLOWAY","WIGTOWNSHIRE","WIGTOWN","NX 38255 56493","http://canmore.org.uk/site/62843",
"17204","NJ42NE 4","Wheedlemont","Stone Circle (Neol/bronze Age)","347950","826600","ABERDEENSHIRE","ABERDEENSHIRE","AUCHINDOIR AND KEARN","NJ 4795 2660","http://canmore.org.uk/site/17204",
"17574","NJ51NW 5","Nether Balfour","Hut Circle (Prehistoric)(Possible), Souterrain (Prehistoric)(Possible), Stone Circle (Neol/bronze Age)(Possible)","353920","817200","ABERDEENSHIRE","ABERDEENSHIRE","TULLYNESSLE AND FORBES","NJ 5392 1720","http://canmore.org.uk/site/17574",
